Suburb,Offence Level 1,Offence Level 2,Month,offence_count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,avg_lag_3,std_lag_3,holiday_days,month
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-10-01,7,1.0,1.0,6.0,1.0,7.0,5.0,8.0,8.0,6.0,6.0,7.0,8.0,2.6666666666666665,2.886751345948129,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-11-01,4,7.0,1.0,1.0,6.0,1.0,7.0,5.0,8.0,8.0,6.0,6.0,7.0,3.0,3.4641016151377544,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-12-01,9,4.0,7.0,1.0,1.0,6.0,1.0,7.0,5.0,8.0,8.0,6.0,6.0,4.0,3.0,2,12
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-01-01,4,9.0,4.0,7.0,1.0,1.0,6.0,1.0,7.0,5.0,8.0,8.0,6.0,6.666666666666667,2.516611478423583,2,1
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-02-01,1,4.0,9.0,4.0,7.0,1.0,1.0,6.0,1.0,7.0,5.0,8.0,8.0,5.666666666666667,2.886751345948129,0,2
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-03-01,1,1.0,4.0,9.0,4.0,7.0,1.0,1.0,6.0,1.0,7.0,5.0,8.0,4.666666666666667,4.041451884327381,4,3
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-04-01,6,1.0,1.0,4.0,9.0,4.0,7.0,1.0,1.0,6.0,1.0,7.0,5.0,2.0,1.7320508075688772,2,4
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-05-01,8,6.0,1.0,1.0,4.0,9.0,4.0,7.0,1.0,1.0,6.0,1.0,7.0,2.6666666666666665,2.886751345948129,0,5
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-06-01,1,8.0,6.0,1.0,1.0,4.0,9.0,4.0,7.0,1.0,1.0,6.0,1.0,5.0,3.605551275463989,1,6
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-07-01,2,1.0,8.0,6.0,1.0,1.0,4.0,9.0,4.0,7.0,1.0,1.0,6.0,5.0,3.605551275463989,0,7
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-08-01,5,2.0,1.0,8.0,6.0,1.0,1.0,4.0,9.0,4.0,7.0,1.0,1.0,3.6666666666666665,3.785938897200183,0,8
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-09-01,6,5.0,2.0,1.0,8.0,6.0,1.0,1.0,4.0,9.0,4.0,7.0,1.0,2.6666666666666665,2.081665999466133,0,9
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-10-01,6,6.0,5.0,2.0,1.0,8.0,6.0,1.0,1.0,4.0,9.0,4.0,7.0,4.333333333333333,2.0816659994661326,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-11-01,6,6.0,6.0,5.0,2.0,1.0,8.0,6.0,1.0,1.0,4.0,9.0,4.0,5.666666666666667,0.5773502691896257,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-12-01,1,6.0,6.0,6.0,5.0,2.0,1.0,8.0,6.0,1.0,1.0,4.0,9.0,6.0,0.0,2,12
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2023-08-01,4,3.0,7.0,8.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,6.0,2.6457513110645907,0,8
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2023-09-01,2,4.0,3.0,7.0,8.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,4.666666666666667,2.0816659994661326,0,9
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2023-10-01,5,2.0,4.0,3.0,7.0,8.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2023-11-01,3,5.0,2.0,4.0,3.0,7.0,8.0,1.0,4.0,2.0,2.0,4.0,2.0,3.6666666666666665,1.5275252316519468,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2023-12-01,1,3.0,5.0,2.0,4.0,3.0,7.0,8.0,1.0,4.0,2.0,2.0,4.0,3.3333333333333335,1.5275252316519468,2,12
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-01-01,4,1.0,3.0,5.0,2.0,4.0,3.0,7.0,8.0,1.0,4.0,2.0,2.0,3.0,2.0,2,1
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-02-01,2,4.0,1.0,3.0,5.0,2.0,4.0,3.0,7.0,8.0,1.0,4.0,2.0,2.6666666666666665,1.5275252316519468,0,2
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-03-01,4,2.0,4.0,1.0,3.0,5.0,2.0,4.0,3.0,7.0,8.0,1.0,4.0,2.3333333333333335,1.5275252316519468,4,3
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-05-01,3,4.0,2.0,4.0,1.0,3.0,5.0,2.0,4.0,3.0,7.0,8.0,1.0,3.3333333333333335,1.1547005383792515,0,5
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-06-01,1,3.0,4.0,2.0,4.0,1.0,3.0,5.0,2.0,4.0,3.0,7.0,8.0,3.0,1.0,1,6
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-07-01,2,1.0,3.0,4.0,2.0,4.0,1.0,3.0,5.0,2.0,4.0,3.0,7.0,2.6666666666666665,1.5275252316519468,0,7
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-08-01,2,2.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,5.0,2.0,4.0,3.0,2.0,1.0,0,8
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-09-01,1,2.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,5.0,2.0,4.0,1.6666666666666667,0.5773502691896257,0,9
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-10-01,1,1.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,5.0,2.0,1.6666666666666667,0.5773502691896257,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-11-01,2,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,5.0,1.3333333333333333,0.5773502691896257,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,2024-12-01,2,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,1.3333333333333333,0.5773502691896257,2,12
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2023-07-01,14,11.0,22.0,16.0,13.0,14.0,12.0,12.0,7.0,11.0,7.0,5.0,5.0,16.333333333333332,5.507570547286102,0,7
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2023-08-01,7,14.0,11.0,22.0,16.0,13.0,14.0,12.0,12.0,7.0,11.0,7.0,5.0,15.666666666666666,5.686240703077327,0,8
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2023-09-01,9,7.0,14.0,11.0,22.0,16.0,13.0,14.0,12.0,12.0,7.0,11.0,7.0,10.666666666666666,3.511884584284246,0,9
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2023-10-01,8,9.0,7.0,14.0,11.0,22.0,16.0,13.0,14.0,12.0,12.0,7.0,11.0,10.0,3.605551275463989,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2023-11-01,9,8.0,9.0,7.0,14.0,11.0,22.0,16.0,13.0,14.0,12.0,12.0,7.0,8.0,1.0,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2023-12-01,5,9.0,8.0,9.0,7.0,14.0,11.0,22.0,16.0,13.0,14.0,12.0,12.0,8.666666666666666,0.5773502691896257,2,12
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-01-01,4,5.0,9.0,8.0,9.0,7.0,14.0,11.0,22.0,16.0,13.0,14.0,12.0,7.333333333333333,2.0816659994661326,2,1
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-02-01,8,4.0,5.0,9.0,8.0,9.0,7.0,14.0,11.0,22.0,16.0,13.0,14.0,6.0,2.6457513110645907,0,2
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-03-01,7,8.0,4.0,5.0,9.0,8.0,9.0,7.0,14.0,11.0,22.0,16.0,13.0,5.666666666666667,2.0816659994661326,4,3
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-04-01,9,7.0,8.0,4.0,5.0,9.0,8.0,9.0,7.0,14.0,11.0,22.0,16.0,6.333333333333333,2.0816659994661326,2,4
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-05-01,7,9.0,7.0,8.0,4.0,5.0,9.0,8.0,9.0,7.0,14.0,11.0,22.0,8.0,1.0,0,5
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-06-01,8,7.0,9.0,7.0,8.0,4.0,5.0,9.0,8.0,9.0,7.0,14.0,11.0,7.666666666666667,1.1547005383792515,1,6
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-07-01,7,8.0,7.0,9.0,7.0,8.0,4.0,5.0,9.0,8.0,9.0,7.0,14.0,8.0,1.0,0,7
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-08-01,9,7.0,8.0,7.0,9.0,7.0,8.0,4.0,5.0,9.0,8.0,9.0,7.0,7.333333333333333,0.5773502691896258,0,8
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-09-01,5,9.0,7.0,8.0,7.0,9.0,7.0,8.0,4.0,5.0,9.0,8.0,9.0,8.0,1.0,0,9
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-10-01,16,5.0,9.0,7.0,8.0,7.0,9.0,7.0,8.0,4.0,5.0,9.0,8.0,7.0,2.0,1,10
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-11-01,11,16.0,5.0,9.0,7.0,8.0,7.0,9.0,7.0,8.0,4.0,5.0,9.0,10.0,5.5677643628300215,0,11
ABERFOYLE PARK,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,2024-12-01,8,11.0,16.0,5.0,9.0,7.0,8.0,7.0,9.0,7.0,8.0,4.0,5.0,10.666666666666666,5.507570547286102,2,12
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2023-07-01,8,4.0,8.0,9.0,5.0,4.0,6.0,5.0,10.0,6.0,6.0,6.0,9.0,7.0,2.6457513110645907,0,7
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2023-08-01,3,8.0,4.0,8.0,9.0,5.0,4.0,6.0,5.0,10.0,6.0,6.0,6.0,6.666666666666667,2.309401076758503,0,8
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2023-09-01,3,3.0,8.0,4.0,8.0,9.0,5.0,4.0,6.0,5.0,10.0,6.0,6.0,5.0,2.6457513110645907,0,9
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2023-10-01,5,3.0,3.0,8.0,4.0,8.0,9.0,5.0,4.0,6.0,5.0,10.0,6.0,4.666666666666667,2.886751345948129,1,10
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2023-11-01,1,5.0,3.0,3.0,8.0,4.0,8.0,9.0,5.0,4.0,6.0,5.0,10.0,3.6666666666666665,1.1547005383792515,0,11
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2023-12-01,4,1.0,5.0,3.0,3.0,8.0,4.0,8.0,9.0,5.0,4.0,6.0,5.0,3.0,2.0,2,12
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-01-01,6,4.0,1.0,5.0,3.0,3.0,8.0,4.0,8.0,9.0,5.0,4.0,6.0,3.3333333333333335,2.0816659994661326,2,1
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-02-01,7,6.0,4.0,1.0,5.0,3.0,3.0,8.0,4.0,8.0,9.0,5.0,4.0,3.6666666666666665,2.5166114784235836,0,2
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-03-01,4,7.0,6.0,4.0,1.0,5.0,3.0,3.0,8.0,4.0,8.0,9.0,5.0,5.666666666666667,1.5275252316519468,4,3
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-05-01,10,4.0,7.0,6.0,4.0,1.0,5.0,3.0,3.0,8.0,4.0,8.0,9.0,5.666666666666667,1.5275252316519465,0,5
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-06-01,6,10.0,4.0,7.0,6.0,4.0,1.0,5.0,3.0,3.0,8.0,4.0,8.0,7.0,3.0,1,6
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-08-01,3,6.0,10.0,4.0,7.0,6.0,4.0,1.0,5.0,3.0,3.0,8.0,4.0,6.666666666666667,3.0550504633038935,0,8
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-09-01,6,3.0,6.0,10.0,4.0,7.0,6.0,4.0,1.0,5.0,3.0,3.0,8.0,6.333333333333333,3.5118845842842465,0,9
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-10-01,4,6.0,3.0,6.0,10.0,4.0,7.0,6.0,4.0,1.0,5.0,3.0,3.0,5.0,1.7320508075688772,1,10
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-11-01,2,4.0,6.0,3.0,6.0,10.0,4.0,7.0,6.0,4.0,1.0,5.0,3.0,4.333333333333333,1.5275252316519468,0,11
ABERFOYLE PARK,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,2024-12-01,4,2.0,4.0,6.0,3.0,6.0,10.0,4.0,7.0,6.0,4.0,1.0,5.0,4.0,2.0,2,12
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-07-01,21,28.0,28.0,19.0,25.0,23.0,30.0,20.0,26.0,25.0,20.0,25.0,30.0,25.0,5.196152422706632,0,7
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-08-01,28,21.0,28.0,28.0,19.0,25.0,23.0,30.0,20.0,26.0,25.0,20.0,25.0,25.666666666666668,4.041451884327381,0,8
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-09-01,24,28.0,21.0,28.0,28.0,19.0,25.0,23.0,30.0,20.0,26.0,25.0,20.0,25.666666666666668,4.041451884327381,0,9
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-10-01,15,24.0,28.0,21.0,28.0,28.0,19.0,25.0,23.0,30.0,20.0,26.0,25.0,24.333333333333332,3.5118845842842465,1,10
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-11-01,28,15.0,24.0,28.0,21.0,28.0,28.0,19.0,25.0,23.0,30.0,20.0,26.0,22.333333333333332,6.6583281184793925,0,11
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2023-12-01,17,28.0,15.0,24.0,28.0,21.0,28.0,28.0,19.0,25.0,23.0,30.0,20.0,22.333333333333332,6.658328118479393,2,12
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-01-01,19,17.0,28.0,15.0,24.0,28.0,21.0,28.0,28.0,19.0,25.0,23.0,30.0,20.0,7.0,2,1
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-02-01,19,19.0,17.0,28.0,15.0,24.0,28.0,21.0,28.0,28.0,19.0,25.0,23.0,21.333333333333332,5.8594652770823155,0,2
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-03-01,30,19.0,19.0,17.0,28.0,15.0,24.0,28.0,21.0,28.0,28.0,19.0,25.0,18.333333333333332,1.1547005383792515,4,3
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-04-01,16,30.0,19.0,19.0,17.0,28.0,15.0,24.0,28.0,21.0,28.0,28.0,19.0,22.666666666666668,6.3508529610858835,2,4
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-05-01,17,16.0,30.0,19.0,19.0,17.0,28.0,15.0,24.0,28.0,21.0,28.0,28.0,21.666666666666668,7.371114795831994,0,5
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-06-01,15,17.0,16.0,30.0,19.0,19.0,17.0,28.0,15.0,24.0,28.0,21.0,28.0,21.0,7.810249675906654,1,6
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-07-01,14,15.0,17.0,16.0,30.0,19.0,19.0,17.0,28.0,15.0,24.0,28.0,21.0,16.0,1.0,0,7
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-08-01,18,14.0,15.0,17.0,16.0,30.0,19.0,19.0,17.0,28.0,15.0,24.0,28.0,15.333333333333334,1.5275252316519468,0,8
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-09-01,23,18.0,14.0,15.0,17.0,16.0,30.0,19.0,19.0,17.0,28.0,15.0,24.0,15.666666666666666,2.0816659994661326,0,9
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-10-01,28,23.0,18.0,14.0,15.0,17.0,16.0,30.0,19.0,19.0,17.0,28.0,15.0,18.333333333333332,4.509249752822894,1,10
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-11-01,21,28.0,23.0,18.0,14.0,15.0,17.0,16.0,30.0,19.0,19.0,17.0,28.0,23.0,5.0,0,11
ADELAIDE,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,2024-12-01,15,21.0,28.0,23.0,18.0,14.0,15.0,17.0,16.0,30.0,19.0,19.0,17.0,24.0,3.605551275463989,2,12
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-07-01,111,92.0,115.0,92.0,76.0,80.0,83.0,103.0,83.0,117.0,67.0,77.0,99.0,99.66666666666667,13.279056191361391,0,7
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-08-01,79,111.0,92.0,115.0,92.0,76.0,80.0,83.0,103.0,83.0,117.0,67.0,77.0,106.0,12.288205727444508,0,8
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-09-01,93,79.0,111.0,92.0,115.0,92.0,76.0,80.0,83.0,103.0,83.0,117.0,67.0,94.0,16.09347693943108,0,9
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-10-01,82,93.0,79.0,111.0,92.0,115.0,92.0,76.0,80.0,83.0,103.0,83.0,117.0,94.33333333333333,16.041612554021285,1,10
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-11-01,93,82.0,93.0,79.0,111.0,92.0,115.0,92.0,76.0,80.0,83.0,103.0,83.0,84.66666666666667,7.371114795831994,0,11
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2023-12-01,104,93.0,82.0,93.0,79.0,111.0,92.0,115.0,92.0,76.0,80.0,83.0,103.0,89.33333333333333,6.3508529610858835,2,12
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-01-01,121,104.0,93.0,82.0,93.0,79.0,111.0,92.0,115.0,92.0,76.0,80.0,83.0,93.0,11.0,2,1
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-02-01,100,121.0,104.0,93.0,82.0,93.0,79.0,111.0,92.0,115.0,92.0,76.0,80.0,106.0,14.106735979665885,0,2
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-03-01,86,100.0,121.0,104.0,93.0,82.0,93.0,79.0,111.0,92.0,115.0,92.0,76.0,108.33333333333333,11.150485789118488,4,3
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-04-01,100,86.0,100.0,121.0,104.0,93.0,82.0,93.0,79.0,111.0,92.0,115.0,92.0,102.33333333333333,17.61628034896508,2,4
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-05-01,95,100.0,86.0,100.0,121.0,104.0,93.0,82.0,93.0,79.0,111.0,92.0,115.0,95.33333333333333,8.082903768654761,0,5
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-06-01,76,95.0,100.0,86.0,100.0,121.0,104.0,93.0,82.0,93.0,79.0,111.0,92.0,93.66666666666667,7.094598884597588,1,6
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-07-01,60,76.0,95.0,100.0,86.0,100.0,121.0,104.0,93.0,82.0,93.0,79.0,111.0,90.33333333333333,12.662279942148386,0,7
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-08-01,83,60.0,76.0,95.0,100.0,86.0,100.0,121.0,104.0,93.0,82.0,93.0,79.0,77.0,17.52141546793523,0,8
ADELAIDE,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,2024-09-01,84,83.0,60.0,76.0,95.0,100.0,86.0,100.0,121.0,104.0,93.0,82.0,93.0,73.0,11.789826122551595,0,9
